Report Number,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Police Deployed,Latitude,Longitude
1,2020-01-01,01:11,Ahmedabad,576,IDENTITY THEFT,16,M,Blunt Object,13,23.02877,72.527184
2,2020-01-01,06:26,Chennai,128,HOMICIDE,37,M,Poison,9,12.984685,80.278348
3,2020-01-01,14:30,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,15,30.920308,75.888101
4,2020-01-01,14:46,Pune,170,BURGLARY,49,F,Firearm,1,18.511382,73.878286
5,2020-01-01,16:51,Pune,421,VANDALISM,30,F,Other,18,18.534672,73.939282
6,2020-01-01,17:09,Delhi,442,ASSAULT,16,M,Firearm,18,28.578195,77.048768
7,2020-01-01,14:08,Chennai,172,VEHICLE - STOLEN,64,F,Knife,13,13.113487,80.249443
8,2020-01-01,06:33,Chennai,169,COUNTERFEITING,78,X,Knife,8,13.122297,80.156045
9,2020-01-01,06:34,Mumbai,338,EXTORTION,41,X,Blunt Object,1,19.152027,72.81439
10,2020-01-01,17:50,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,4,13.003343,80.188753
11,2020-01-01,19:42,Delhi,260,FRAUD,71,M,Explosives,5,28.620314,76.809072
12,2020-01-01,22:16,Surat,563,IDENTITY THEFT,26,M,Poison,3,21.175335,72.81842
13,2020-01-01,23:14,Visakhapatnam,498,FRAUD,36,F,Poison,3,17.731179,83.229765
14,2020-01-01,17:46,Mumbai,436,ASSAULT,32,X,None,18,19.028783,72.800723
15,2020-01-01,22:28,Bangalore,266,SEXUAL ASSAULT,77,F,None,19,12.915678,77.559735
16,2020-01-01,18:54,Kolkata,357,COUNTERFEITING,51,F,Explosives,16,22.677526,88.388713
17,2020-01-01,02:57,Ghaziabad,509,DRUG OFFENSE,61,M,Poison,6,28.651739,77.371439
18,2020-01-01,23:09,Pune,342,ARSON,64,F,Other,2,18.630174,73.862104
19,2020-01-01,10:42,Bangalore,480,CYBERCRIME,11,M,None,3,13.083921,77.568868
20,2020-01-01,18:02,Bangalore,369,EXTORTION,62,F,Blunt Object,2,13.099484,77.68381
21,2020-01-01,02:33,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,14,17.349131,78.467253
22,2020-01-01,10:11,Mumbai,374,VANDALISM,64,F,Other,15,19.030236,72.912947
23,2020-01-01,22:03,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,13,26.867288,75.817632
24,2020-01-01,23:40,Chennai,322,VANDALISM,77,F,Other,18,12.901158,80.285025
25,2020-01-02,20:47,Bangalore,527,DRUG OFFENSE,18,F,Other,1,13.020551,77.647908
26,2020-01-02,08:21,Jaipur,282,ASSAULT,60,M,Firearm,15,26.927464,75.926372
27,2020-01-02,04:02,Pune,247,IDENTITY THEFT,49,M,Blunt Object,13,18.522408,73.925079
28,2020-01-02,20:11,Lucknow,489,PUBLIC INTOXICATION,41,F,None,7,26.928374,80.923842
29,2020-01-02,19:56,Bangalore,387,VANDALISM,33,F,Explosives,19,12.90999,77.656818
30,2020-01-02,09:35,Bhopal,517,BURGLARY,37,F,None,4,23.29184,77.498924
31,2020-01-02,13:06,Bhopal,570,HOMICIDE,32,F,Explosives,13,23.246868,77.331338
32,2020-01-02,15:05,Hyderabad,222,VANDALISM,60,M,Knife,3,17.454792,78.597026
33,2020-01-02,03:01,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,19,28.844906,77.134713
34,2020-01-02,02:40,Patna,575,VEHICLE - STOLEN,24,F,Explosives,6,25.579396,85.16945
35,2020-01-02,22:18,Kanpur,341,VANDALISM,34,F,Other,14,26.475406,80.356738
36,2020-01-02,17:48,Chennai,396,COUNTERFEITING,32,F,Blunt Object,11,13.147849,80.295566
37,2020-01-02,00:18,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,9,26.799872,80.968632
38,2020-01-02,18:04,Varanasi,280,SHOPLIFTING,22,F,Explosives,14,25.307137,82.982577
39,2020-01-02,21:24,Surat,487,VEHICLE - STOLEN,32,F,None,13,21.183512,72.75155
40,2020-01-02,14:05,Mumbai,154,FRAUD,69,F,Explosives,10,18.911054,72.825837
41,2020-01-02,01:51,Visakhapatnam,148,HOMICIDE,28,F,Firearm,2,17.7843,83.336782
42,2020-01-02,11:09,Surat,583,ILLEGAL POSSESSION,42,M,Blunt Object,6,21.245565,72.739835
43,2020-01-02,09:30,Delhi,172,FIREARM OFFENSE,40,M,Poison,10,28.660746,76.83587
44,2020-01-02,08:34,Mumbai,300,SEXUAL ASSAULT,44,M,Other,7,18.961713,72.943989
45,2020-01-02,06:22,Kolkata,387,ARSON,44,F,Blunt Object,10,22.675037,88.317012
46,2020-01-02,09:02,Patna,297,DRUG OFFENSE,67,M,Knife,8,25.591374,85.153914
47,2020-01-02,09:55,Delhi,555,ROBBERY,47,F,None,9,28.573913,77.053298
48,2020-01-02,03:42,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,14,26.800088,80.885391
49,2020-01-03,02:59,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,17,26.91402,75.908863
50,2020-01-03,06:06,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,7,17.42539,78.387117
51,2020-01-03,17:10,Nagpur,573,BURGLARY,54,F,Other,12,21.061287,79.013059
52,2020-01-03,19:13,Kolkata,260,BURGLARY,38,F,Blunt Object,5,22.546299,88.496662
53,2020-01-03,22:01,Ghaziabad,211,PUBLIC INTOXICATION,29,M,Poison,15,28.797195,77.52347
54,2020-01-03,18:47,Delhi,312,BURGLARY,75,M,Explosives,2,28.565348,76.861204
55,2020-01-03,07:47,Pune,548,FIREARM OFFENSE,61,F,Poison,5,18.518484,73.82283
56,2020-01-03,11:11,Meerut,596,BURGLARY,49,F,None,19,29.035801,77.655765
57,2020-01-03,20:16,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,8,26.436692,80.360003
58,2020-01-03,09:43,Ahmedabad,110,ASSAULT,70,F,None,15,23.053978,72.558229
59,2020-01-03,02:40,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,16,12.965813,80.186236
60,2020-01-03,05:33,Thane,352,SHOPLIFTING,53,F,Other,6,19.232808,72.984966
61,2020-01-03,15:04,Mumbai,196,SHOPLIFTING,16,M,Poison,10,18.956641,72.935074
62,2020-01-03,03:32,Surat,359,DRUG OFFENSE,30,M,Explosives,9,21.269842,72.73039
63,2020-01-03,09:27,Chennai,495,FRAUD,56,M,Explosives,5,12.974791,80.151532
64,2020-01-03,23:24,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,16,19.238295,73.031592
65,2020-01-03,00:59,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,19,17.711133,83.263824
66,2020-01-03,11:49,Lucknow,409,EXTORTION,45,F,Other,3,26.814339,80.958707
67,2020-01-03,17:48,Bhopal,306,CYBERCRIME,25,M,None,6,23.262817,77.485575
68,2020-01-03,08:46,Visakhapatnam,420,BURGLARY,22,M,Knife,17,17.732305,83.224044
69,2020-01-03,02:24,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,8,17.463272,78.356847
70,2020-01-03,17:23,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,1,17.790982,83.266277
71,2020-01-03,00:50,Kolkata,512,FIREARM OFFENSE,58,F,Poison,6,22.587761,88.44313
72,2020-01-03,11:34,Nagpur,244,ARSON,53,F,Knife,1,21.076848,79.02657
73,2020-01-04,07:58,Lucknow,269,BURGLARY,35,F,Blunt Object,2,26.890536,80.919046
74,2020-01-04,03:01,Chennai,524,ARSON,36,M,Firearm,5,12.962685,80.273495
75,2020-01-04,01:45,Ahmedabad,404,CYBERCRIME,70,F,Knife,18,23.031231,72.538358
76,2020-01-04,20:57,Delhi,191,VANDALISM,52,M,Explosives,7,28.749881,77.295691
77,2020-01-04,14:30,Mumbai,369,KIDNAPPING,25,F,Explosives,14,19.071392,72.832068
78,2020-01-04,17:02,Indore,517,IDENTITY THEFT,58,F,Knife,10,22.671062,75.941606
79,2020-01-04,03:40,Mumbai,229,ROBBERY,39,F,Poison,4,19.127436,72.791807
80,2020-01-04,23:54,Visakhapatnam,154,VEHICLE - STOLEN,54,F,None,15,17.759209,83.210328
81,2020-01-04,23:33,Delhi,197,ASSAULT,61,F,Knife,10,28.594057,77.184472
82,2020-01-04,15:37,Jaipur,421,FRAUD,16,F,Explosives,17,26.872166,75.864465
83,2020-01-04,09:17,Mumbai,305,ROBBERY,25,F,Firearm,14,19.189598,72.924802
84,2020-01-04,06:13,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,9,22.505738,88.312231
85,2020-01-04,12:40,Lucknow,542,PUBLIC INTOXICATION,48,M,Firearm,3,26.835737,81.048324
86,2020-01-04,06:42,Mumbai,438,VANDALISM,22,M,Other,5,18.912599,72.944544
87,2020-01-04,16:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,10,26.917876,80.8527
88,2020-01-04,22:04,Rajkot,345,ROBBERY,11,F,Firearm,1,22.255242,70.790958
89,2020-01-04,21:21,Mumbai,108,HOMICIDE,16,F,Knife,6,19.058315,72.930099
90,2020-01-04,06:38,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,12,17.441701,78.355513
91,2020-01-04,17:15,Kolkata,219,BURGLARY,72,F,Poison,9,22.635938,88.360615
92,2020-01-04,09:21,Jaipur,510,CYBERCRIME,60,F,None,7,26.845875,75.874965
93,2020-01-04,07:36,Hyderabad,597,FRAUD,53,M,None,13,17.309346,78.357168
94,2020-01-04,08:12,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,3,19.11947,72.751834
95,2020-01-04,22:16,Vasai,413,PUBLIC INTOXICATION,10,M,Firearm,11,19.351671,72.86164
96,2020-01-04,14:10,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,7,17.404959,78.413438
97,2020-01-05,15:36,Nagpur,523,IDENTITY THEFT,26,F,Explosives,5,21.231595,79.121774
98,2020-01-05,02:56,Kolkata,486,SEXUAL ASSAULT,71,M,Blunt Object,6,22.57107,88.361888
99,2020-01-05,14:38,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,15,17.50293,78.467922
100,2020-01-05,06:41,Hyderabad,455,DRUG OFFENSE,13,F,Other,13,17.389036,78.497867
101,2020-01-05,14:02,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,1,23.038417,72.671772
102,2020-01-05,22:34,Mumbai,566,EXTORTION,69,F,Explosives,18,18.912559,72.772052
103,2020-01-05,17:43,Kanpur,419,ASSAULT,34,F,Other,6,26.473064,80.427718
104,2020-01-05,14:13,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,14,19.151999,72.901096
105,2020-01-05,19:30,Lucknow,597,FRAUD,44,F,Blunt Object,16,26.888516,81.013292
106,2020-01-05,10:05,Hyderabad,583,VEHICLE - STOLEN,69,F,None,12,17.391096,78.550281
107,2020-01-05,17:21,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,1,26.924964,81.024367
108,2020-01-05,09:35,Bangalore,417,ARSON,21,F,Poison,3,12.913274,77.622198
109,2020-01-05,00:07,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,8,13.041035,80.278006
110,2020-01-05,23:32,Delhi,464,ARSON,15,F,Other,9,28.788261,77.285541
111,2020-01-05,23:24,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,5,17.684473,83.282162
112,2020-01-05,07:02,Delhi,183,COUNTERFEITING,37,F,None,6,28.686396,77.271332
113,2020-01-05,14:55,Bangalore,270,HOMICIDE,49,F,Knife,7,13.095485,77.672471
114,2020-01-05,06:42,Surat,259,EXTORTION,30,M,Poison,5,21.274831,72.724313
115,2020-01-05,08:02,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,15,18.586953,73.8955
116,2020-01-05,06:26,Mumbai,353,BURGLARY,64,F,Knife,10,19.089013,72.884661
117,2020-01-05,10:15,Lucknow,235,VANDALISM,43,M,Poison,14,26.758932,80.860932
118,2020-01-05,02:16,Delhi,287,DRUG OFFENSE,32,M,Explosives,13,28.637537,76.866567
119,2020-01-05,23:48,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,3,19.124996,72.770377
